job_url,title,salary,location,contract_type,job_type
/jobs/supply-chain-data-analyst/52125427?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Supply Chain Data Analyst ,"£55,000 - £62,000 per annum",Gaydon,Permanent,full-time
/jobs/web-scraping-data-analyst/52229750?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Web Scraping Data Analyst,"£34,000 per annum",Newbury,Contract,full-time
/jobs/financial-data-analyst-analyst-recommendations/52155509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Financial Data Analyst - Analyst Recommendations,Salary negotiable,London,Temporary,full-time
/jobs/data-protection-analyst/52277380?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Protection Analyst,"£40,000 - £47,000 per annum",Sunderland,Permanent,full-time
/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Governance Analyst,€95 - €110 per hour,Netherlands,Contract,full-time
/jobs/data-governance-analyst/52118785?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Governance Analyst,£450 - £500 per day,City of London,Contract,full-time
/jobs/senior-data-governance-analyst-banking/52183890?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Senior Data Governance Analyst - Banking ,"£70,000 - £75,000 per annum",London,Permanent,full-time
/jobs/senior-data-governance-analyst-banking/52110236?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Senior Data Governance Analyst Banking ,"£70,000 - £75,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52098419?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst,"£45,000 - £50,000 per annum",Manchester,Permanent,full-time
/jobs/data-analyst/52026873?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,Salary negotiable,London,Permanent,full-time
/jobs/data-analyst/52259857?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,£20 - £30 per hour,Southampton,Contract,full-time
/jobs/data-analyst/52148497?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Edinburgh,Permanent,full-time
/jobs/data-analyst/52182952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",Salford,Permanent,full-time
/jobs/data-analyst/52093307?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,£450 per day,London,Contract,full-time
/jobs/data-analyst/52077173?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,Salary negotiable,Ireland,Contract,full-time
/jobs/data-analyst/52133270?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£40,000 - £50,000 per annum",Birmingham,Permanent,full-time
/jobs/data-analyst/52255986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£55,000 - £65,000 per annum",Manchester,Permanent,full-time
/jobs/data-analyst/52177247?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £42,000 per annum",Nottingham,Permanent,full-time
/jobs/data-analyst/52056162?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £45,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52176937?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Reading,Permanent,full-time
/jobs/data-analyst/52250940?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum, inc benefits",Gerrards Cross,Permanent,full-time
